REPORT
report,date,time,status
post-build,2018-07-17,09:10:34,


JIRA_ISSUES
key, summary, assignee, priority, status, created, updated, description
MYW-15,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-17T11:10:33.993+0200,2018-07-17T11:10:33.993+0200,${BUILD_URL}        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-14,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-17T10:55:10.754+0200,2018-07-17T10:55:10.754+0200,test
MYW-13,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-17T08:11:27.378+0200,2018-07-17T08:11:27.378+0200,${BUILD_URL}        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-12,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-17T08:04:10.585+0200,2018-07-17T08:04:10.585+0200,${BUILD_URL}        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-11,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-17T07:58:33.979+0200,2018-07-17T07:58:33.979+0200,${BUILD_URL}        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-5,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-16T14:03:27.484+0200,2018-07-16T14:03:27.484+0200,${BUILD_URL}        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-4,com.spring.controller.unitTests.LoginControllerFailureTest.test : Not yet implemented,None,Medium,To Do,2018-07-16T12:49:14.539+0200,2018-07-16T12:49:14.539+0200,http://localhost:7070/job/Build/4/        java.lang.AssertionError: Not yet implemented 	at org.junit.Assert.fail(Assert.java:88) 	at com.spring.controller.unitTests.LoginControllerFailureTest.test(LoginControllerFailureTest.java:21) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) 	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:115) 	at org.testng.junit.JUnit4TestRunner.start(JUnit4TestRunner.java:81) 	at org.testng.junit.JUnit4TestRunner.run(JUnit4TestRunner.java:69) 	at org.testng.TestRunner$1.run(TestRunner.java:682) 	at org.testng.TestRunner.runWorkers(TestRunner.java:1012) 	at org.testng.TestRunner.privateRunJUnit(TestRunner.java:713) 	at org.testng.TestRunner.run(TestRunner.java:614) 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:334) 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:329) 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:291) 	at org.testng.SuiteRunner.run(SuiteRunner.java:240) 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1198) 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1123) 	at org.testng.TestNG.run(TestNG.java:1031) 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:135) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.executeMulti(TestNGDirectoryTestSuite.java:198) 	at org.apache.maven.surefire.testng.TestNGDirectoryTestSuite.execute(TestNGDirectoryTestSuite.java:94) 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:146) 	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:383) 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:344) 	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:125) 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:417)      
MYW-3,FailedTest,sebastian ortmanns,Medium,To Do,2018-07-15T12:57:37.997+0200,2018-07-15T12:57:57.092+0200,None
MYW-2,SuccessPage Modification,None,Medium,To Do,2018-07-13T19:16:40.273+0200,2018-07-13T19:16:40.273+0200,None

